,0,1
211,682.0,40.0
212,681.0,49.0
213,678.0,61.0
214,673.0,80.0
215,669.0,100.0
216,668.0,116.0
217,664.0,132.0
218,664.0,154.0
219,665.0,182.0
220,667.0,200.0
221,670.0,216.0
222,674.0,241.0
223,679.0,265.0
224,683.0,282.0
225,688.0,300.0
226,693.0,323.0
227,699.0,347.0
228,702.0,365.0
229,708.0,382.0
230,713.0,422.0
231,716.0,445.0
232,716.0,467.0
233,716.0,500.0
234,713.0,538.0
235,709.0,553.0
236,705.0,569.0
237,698.0,588.0
238,690.0,602.0
239,679.0,610.0
240,648.0,622.0
241,625.0,626.0
242,602.0,623.0
243,551.0,613.0
244,518.0,604.0
245,473.0,589.0
246,396.0,568.0
247,373.0,565.0
248,298.0,556.0
249,269.0,556.0
250,184.0,556.0
251,127.0,556.0
252,41.0,561.0
253,-27.0,572.0
254,-67.0,581.0
255,-43.0,588.0
256,-27.0,592.0
257,-4.0,593.0
258,-2.0,593.0
259,0.0,592.0
260,17.0,550.0
261,25.0,558.0
262,31.0,567.0
263,36.0,574.0
264,40.0,579.0
265,44.0,583.0
266,48.0,588.0
267,50.0,593.0
268,53.0,598.0
269,55.0,605.0
270,58.0,613.0
271,61.0,624.0
272,63.0,632.0
273,64.0,641.0
274,67.0,651.0
275,69.0,665.0
276,70.0,678.0
277,70.0,688.0
278,70.0,691.0
279,70.0,694.0
280,70.0,695.0
281,70.0,696.0
282,69.0,696.0
283,69.0,697.0
284,69.0,697.0
285,68.0,697.0
286,67.0,698.0
287,66.0,699.0
288,65.0,699.0
289,64.0,699.0
290,64.0,699.0
291,72.0,690.0
292,76.0,683.0
293,94.0,669.0
294,127.0,646.0
295,144.0,632.0
296,170.0,610.0
297,200.0,584.0
298,237.0,560.0
299,254.0,548.0
300,276.0,535.0
301,293.0,523.0
302,310.0,515.0
303,327.0,503.0
304,346.0,493.0
305,362.0,486.0
306,375.0,476.0
307,392.0,466.0
308,411.0,456.0
309,426.0,448.0
310,439.0,441.0
311,448.0,435.0
312,457.0,429.0
313,465.0,427.0
314,474.0,421.0
315,487.0,417.0
316,499.0,414.0
317,508.0,413.0
318,520.0,411.0
319,528.0,411.0
320,540.0,413.0
321,553.0,415.0
322,565.0,418.0
323,574.0,423.0
324,583.0,425.0
325,590.0,431.0
326,599.0,440.0
327,611.0,454.0
328,624.0,467.0
329,637.0,478.0
330,646.0,488.0
331,656.0,499.0
332,670.0,519.0
333,682.0,542.0
334,692.0,555.0
335,699.0,566.0
336,711.0,577.0
337,720.0,586.0
338,732.0,603.0
339,742.0,620.0
340,750.0,633.0
341,759.0,642.0
342,769.0,653.0
343,783.0,671.0
344,802.0,690.0
345,816.0,714.0
346,823.0,723.0
347,835.0,738.0
348,847.0,753.0
349,863.0,773.0
350,875.0,786.0
351,886.0,798.0
352,897.0,807.0
353,907.0,817.0
354,916.0,824.0
355,929.0,831.0
356,941.0,839.0
357,954.0,843.0
358,967.0,847.0
359,977.0,848.0
360,989.0,850.0
361,1005.0,850.0
362,1021.0,847.0
363,1036.0,844.0
364,1048.0,838.0
365,1061.0,830.0
366,1083.0,819.0
367,1106.0,807.0
368,1123.0,799.0
369,1140.0,787.0
370,1162.0,772.0
371,1190.0,755.0
372,1207.0,745.0
373,1222.0,736.0
374,1239.0,728.0
375,1265.0,708.0
376,1280.0,695.0
377,1296.0,677.0
378,1312.0,658.0
379,1331.0,633.0
380,1348.0,608.0
381,1356.0,590.0
382,1361.0,581.0
383,1365.0,576.0
384,1366.0,574.0
385,1366.0,574.0
386,882.0,159.0
387,869.0,107.0
388,839.0,32.0
389,825.0,9.0
390,785.0,-78.0
391,773.0,-24.0
392,740.0,-52.0
393,718.0,-30.0
394,708.0,-9.0
395,703.0,-5.0
396,701.0,-2.0
397,699.0,0.0
398,697.0,0.0
399,695.0,0.0
400,694.0,1.0
401,691.0,7.0
402,687.0,18.0
403,684.0,30.0
404,682.0,40.0
405,681.0,49.0
406,678.0,61.0
407,673.0,80.0
408,669.0,100.0
409,668.0,116.0
410,664.0,132.0
411,664.0,154.0
412,665.0,182.0
413,667.0,200.0
414,670.0,216.0
415,674.0,241.0
416,679.0,265.0
417,683.0,282.0
418,688.0,300.0
419,693.0,323.0
420,699.0,347.0
421,702.0,365.0
422,708.0,382.0
423,713.0,422.0
424,716.0,445.0
425,716.0,467.0
426,716.0,500.0
427,713.0,538.0
428,709.0,553.0
429,705.0,569.0
430,698.0,588.0
431,690.0,602.0
432,679.0,610.0
433,648.0,622.0
434,625.0,626.0
435,602.0,623.0
436,551.0,613.0
437,518.0,604.0
438,473.0,589.0
439,396.0,568.0
440,373.0,565.0
441,298.0,556.0
442,269.0,556.0
443,184.0,556.0
444,127.0,556.0
445,41.0,561.0
446,-27.0,572.0
447,-67.0,581.0
448,-43.0,588.0
449,-27.0,592.0
450,-4.0,593.0
451,-2.0,593.0
452,0.0,592.0
453,17.0,550.0
454,25.0,558.0
455,31.0,567.0
456,36.0,574.0
457,40.0,579.0
458,44.0,583.0
459,48.0,588.0
460,50.0,593.0
461,53.0,598.0
462,55.0,605.0
463,58.0,613.0
464,61.0,624.0
465,63.0,632.0
466,64.0,641.0
467,67.0,651.0
468,69.0,665.0
469,70.0,678.0
470,70.0,688.0
471,70.0,691.0
472,70.0,694.0
473,70.0,695.0
474,70.0,696.0
475,69.0,696.0
476,69.0,697.0
477,69.0,697.0
478,68.0,697.0
479,67.0,698.0
480,66.0,699.0
481,65.0,699.0
482,64.0,699.0
483,64.0,699.0
484,72.0,690.0
485,76.0,683.0
486,94.0,669.0
487,127.0,646.0
488,144.0,632.0
489,170.0,610.0
490,200.0,584.0
491,237.0,560.0
492,254.0,548.0
493,276.0,535.0
494,293.0,523.0
495,310.0,515.0
496,327.0,503.0
497,346.0,493.0
498,362.0,486.0
499,375.0,476.0
500,392.0,466.0
501,411.0,456.0
502,426.0,448.0
503,439.0,441.0
504,448.0,435.0
505,457.0,429.0
506,465.0,427.0
507,474.0,421.0
508,487.0,417.0
509,499.0,414.0
510,508.0,413.0
511,520.0,411.0
512,528.0,411.0
513,540.0,413.0
